date,teste
Gastos P&D depois,678.2329983125268
Gastos P&D depois,223.60679774997897
Gastos P&D depois,678.2329983125268
Gastos P&D depois,94.86832980505137
Gastos P&D depois,300.0
Gastos P&D depois,0.0
Gastos P&D depois,318.5906464414798
Gastos P&D depois,902.3580220732789
Gastos P&D depois,50.0
Gastos P&D depois,1224.744871391589
Gastos P&D depois,500.0
Gastos P&D depois,0.0
Gastos P&D depois,300.0
Gastos P&D depois,0.0
Gastos P&D depois,0.0
Gastos P&D depois,400.3123780249619
Gastos P&D depois,223.60679774997897
Gastos P&D depois,0.0
Gastos P&D depois,187.08286933869707
Gastos P&D depois,0.0
Gastos P&D depois,100.0
Gastos P&D depois,158.11388300841898
Gastos P&D depois,122.47448713915891
Gastos P&D depois,316.22776601683796
Gastos P&D depois,173.20508075688772
Gastos P&D depois,50.0
Gastos P&D depois,0.0
Gastos P&D depois,474.3416490252569
Gastos P&D depois,179.21216476567656
Gastos P&D depois,181.6590212458495
Gastos P&D depois,111.80339887498948
Gastos P&D depois,0.0
Gastos P&D depois,100.0
Gastos P&D depois,367.24184810557745
Gastos P&D depois,150.0
Gastos P&D depois,158.11388300841898
Gastos P&D depois,427.96027853061315
Gastos P&D depois,424.26406871192853
Gastos P&D depois,158.11388300841898
Gastos P&D depois,200.0
Gastos P&D depois,424.26406871192853
Gastos P&D depois,0.0
Gastos P&D depois,0.0
Gastos P&D depois,0.0
Gastos P&D depois,0.0
Gastos P&D depois,6.324555320336759
Gastos P&D depois,0.0
Gastos P&D depois,173.20508075688772
Gastos P&D depois,0.0
Gastos P&D depois,0.0
Gastos P&D depois,63.245553203367585
Gastos P&D depois,610.2458520956943
Gastos P&D depois,0.0
Gastos P&D depois,223.60679774997897
Gastos P&D depois,173.20508075688772
Gastos P&D depois,212.13203435596427
Gastos P&D depois,0.0
Gastos P&D depois,316.22776601683796
Gastos P&D depois,200.0
Gastos P&D depois,500.0
Gastos P&D depois,0.0
Gastos P&D depois,63.245553203367585
Gastos P&D depois,291.547594742265
Gastos P&D depois,291.547594742265
Gastos P&D depois,131.34020709592323
Gastos P&D depois,158.11388300841898
Gastos P&D depois,200.0
Gastos P&D depois,200.0
Gastos P&D depois,380.13155617496426
Gastos P&D depois,176.7766952966369
Gastos P&D depois,104.88088481701516
Gastos P&D depois,141.4213562373095
Gastos P&D depois,117.26039399558574
Gastos P&D depois,418.33001326703777
Gastos P&D depois,434.11979913383357
Gastos P&D depois,187.08286933869707
Gastos P&D depois,1183.2159566199232
Gastos P&D depois,232.59406699226014
Gastos P&D depois,363.5546313829601
Gastos P&D depois,412.1116353610997
Gastos P&D depois,187.08286933869707
Gastos P&D depois,206.15528128088303
Gastos P&D depois,223.60679774997897
Gastos P&D depois,374.83329627982624
Gastos P&D depois,632.4555320336759
Gastos P&D depois,327.8719262151
Gastos P&D depois,424.26406871192853
Gastos P&D depois,0.0
Gastos P&D depois,0.0
Gastos P&D depois,73.14369419163897
Gastos P&D depois,367.4234614174767
Gastos P&D depois,523.2571069751466
Gastos P&D depois,485.3560548710606
Gastos P&D depois,0.0
Gastos P&D depois,784.2193570679061
Gastos P&D depois,346.41016151377545
Gastos P&D depois,724.3197601888271
Gastos P&D depois,639.2108181187174
Gastos P&D depois,0.0
Gastos P&D depois,529.1502622129182
Gastos P&D depois,122.47448713915891
Gastos P&D depois,707.1067811865476
Gastos P&D depois,0.0
Gastos P&D depois,587.6691969126848
Gastos P&D depois,0.0
Gastos P&D depois,198.7460691435179
Gastos P&D depois,574.4562646538029
Gastos P&D depois,918.2608970221916
Gastos P&D depois,100.0
Gastos P&D depois,741.6198487095663
Gastos P&D depois,524.4044240850758
